Source,Target,Weight_s1,Weight_s2,Weight_s3,Total_Weight
ADDAM_MARBRAND,KEVAN,3.0,0.0,0.0,3.0
ADDAM_MARBRAND,LEO_LEFFORD,3.0,0.0,0.0,3.0
ADDAM_MARBRAND,TYWIN,2.0,0.0,0.0,2.0
AEGON,AERYS,2.0,0.0,0.0,2.0
AEGON,ARYA,0.0,2.0,0.0,2.0
AEGON,DAVOS,0.0,0.0,2.0,2.0
AEGON,MAESTER_AEMON,2.0,0.0,0.0,2.0
AEGON,SHIREEN,0.0,0.0,2.0,2.0
AERYS,BARRISTAN,2.0,0.0,3.0,5.0
AERYS,CATELYN,2.0,0.0,0.0,2.0
AERYS,JAIME,3.0,4.0,2.0,9.0
AERYS,JOFFREY,0.0,0.0,2.0,2.0
AERYS,JORAH,2.0,0.0,0.0,2.0
AERYS,MAESTER_AEMON,2.0,0.0,0.0,2.0
AERYS,NED,8.0,0.0,2.0,10.0
AERYS,PYCELLE,0.0,2.0,0.0,2.0
AERYS,RENLY,2.0,0.0,0.0,2.0
AERYS,RHAEGAR,3.0,0.0,0.0,3.0
AERYS,RICKARD_STARK,4.0,0.0,0.0,4.0
AERYS,ROBERT,7.0,2.0,3.0,12.0
AERYS,SANSA,2.0,0.0,0.0,2.0
AERYS,SEPTA_MORDANE,2.0,0.0,0.0,2.0
AERYS,TYWIN,0.0,2.0,0.0,2.0
ALLISER_THORNE,GRENN,7.0,0.0,0.0,7.0
ALLISER_THORNE,JEOR,9.0,0.0,0.0,9.0
ALLISER_THORNE,JON,20.0,0.0,0.0,20.0
ALLISER_THORNE,MAESTER_AEMON,2.0,0.0,0.0,2.0
ALLISER_THORNE,OTHELL_YARWYCK,3.0,0.0,0.0,3.0
ALLISER_THORNE,PYP,10.0,0.0,0.0,10.0
ALLISER_THORNE,RAST,4.0,0.0,0.0,4.0
ALLISER_THORNE,SAM,18.0,0.0,0.0,18.0
ALTON,CERSEI,0.0,9.0,0.0,9.0
ALTON,JAIME,0.0,46.0,0.0,46.0
ALTON,RICKARD_KARSTARK,0.0,4.0,0.0,4.0
ALTON,ROBB,0.0,22.0,0.0,22.0
ALTON,TALISA,0.0,2.0,0.0,2.0
ALTON,TORRHEN,0.0,5.0,0.0,5.0
ALTON,TYRION,0.0,3.0,0.0,3.0
AMORY,ARYA,0.0,16.0,0.0,16.0
AMORY,HOT_PIE,0.0,2.0,0.0,2.0
AMORY,JAQEN,0.0,3.0,0.0,3.0
